id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1517791786625814528,1517480088345923587,2022-04-23 14:35:35 IST,2022-04-23,14:35:35,+0530,1349420228170686465,diehard_dolphin,Dolphin-diehard,,"@JackORob @levins0hn Ok, war noch nie bei denen in stadion - genau so dämlich - aber dann dürfen die sich wohl kaum beschweren.",de,[],[],[],0,0,0,[],[],https://twitter.com/diehard_dolphin/status/1517791786625814528,False,,0,,,,,,,,"[{'screen_name': 'JackORob', 'name': 'RobiGro', 'id': '358699788'}, {'screen_name': 'levins0hn', 'name': 'Niklas Levinsohn', 'id': '783035411396460544'}]",,,,
1517791785346646017,1517789952632934401,2022-04-23 14:35:35 IST,2022-04-23,14:35:35,+0530,1385990751415410691,heuteimmoment,Momo,,"@UlrikeNRW @FalkenaugeM Ich habe den mit den Söhnen angeschaut, damals Kino! Jetzt sind die Enkelsöhne da und ich kann wieder genießen. Wir üben den Freudenfrühingsbegrüßungsschrei😂",de,[],[],[],0,0,0,[],[],https://twitter.com/heuteimMoment/status/1517791785346646017,False,,0,,,,,,,,"[{'screen_name': 'UlrikeNRW', 'name': 'SchlummerEule', 'id': '1378365743851569158'}, {'screen_name': 'FalkenaugeM', 'name': 'Michael Falkenauge', 'id': '1253293200623783937'}]",,,,
1517791785220820992,1517791785220820992,2022-04-23 14:35:35 IST,2022-04-23,14:35:35,+0530,22642996,wochenzeitung,WOZ,,"Heute neu in unserem Blog zum Krieg gegen die #Ukraine: Lektüretipps zum Wochenende, unter anderem zur russischen Friedensaktivistin Jelena Osipowa. Zusammengestellt von @Anna_Jik.  https://t.co/KSnRE3g16G",de,"[{'screen_name': 'anna_jik', 'name': 'anna jikhareva', 'id': '1024136538'}]",['https://www.woz.ch/blog/der-woz-blog-zum-ukrainekrieg/2022/04/22/lektueretipps-fuers-wochenende'],[],0,0,0,['ukraine'],[],https://twitter.com/Wochenzeitung/status/1517791785220820992,False,,0,,,,,,,,[],,,,
1517791784050507776,1517695074557124608,2022-04-23 14:35:35 IST,2022-04-23,14:35:35,+0530,146809444,heraldbecker,Herald Becker,,"@MichielKlomp75 Ik hoop toch dat je bedoelt: na een fijne dag, lekker slapen en morgen weer fijn verder. Anders: Aj.... Ben je daar niet te jong voor? Tuurlijk zijn er slechte dagen/momenten, maar die gaan ook weer voorbij!",nl,[],[],[],0,0,0,[],[],https://twitter.com/heraldbecker/status/1517791784050507776,False,,0,,,,,,,,"[{'screen_name': 'MichielKlomp75', 'name': 'Michiel 🇺🇦', 'id': '1363168586605412360'}]",,,,
1517791783702380544,1517738489781137408,2022-04-23 14:35:35 IST,2022-04-23,14:35:35,+0530,996060980613402625,bernhard_ks,3Zahntiger💉💉 💉🐈🇺🇦🇺🇦,,@zkredka Guten Morgen  in die Runde 🤗,de,[],[],[],0,0,0,[],[],https://twitter.com/Bernhard_KS/status/1517791783702380544,False,,0,,,,,,,,"[{'screen_name': 'zkredka', 'name': 'Lena Z', 'id': '1600805341'}]",,,,
1517791782553243648,1517613821963214851,2022-04-23 14:35:34 IST,2022-04-23,14:35:34,+0530,1347474010834149377,gutmaennchen,Gutmännchen,,"@krulleskopp @RNSeba @PostheroicN @mauerunkraut @Pflegelehre Wenn Frau Moll die Zukunft der Pflege in der SPD verkörpert, gut Nachti.",de,[],[],[],0,0,0,[],[],https://twitter.com/gutmaennchen/status/1517791782553243648,False,,0,,,,,,,,"[{'screen_name': 'krulleskopp', 'name': 'krausekopf', 'id': '1430089572524904450'}, {'screen_name': 'RNSeba', 'name': 'Sebastian Tensing (RN)', 'id': '1181830802344235008'}, {'screen_name': 'PostheroicN', 'name': 'Postheroic_Nurse', 'id': '1301150349177376769'}, {'screen_name': 'mauerunkraut', 'name': 'mauerunkraut, RN', 'id': '33064728'}, {'screen_name': 'Pflegelehre', 'name': 'M.OK', 'id': '1344372386938945540'}]",,,,
1517791780862840832,1517758944223051777,2022-04-23 14:35:34 IST,2022-04-23,14:35:34,+0530,2893250302,madameaurelia,Madame Aurelia,,"@Teufelskreis81 Ich hab auch sehr viel gelesen, zur Zeit fehlt aber immer noch die Konzentration, leider. Sebastian Fitzek mag ich auch sehr. Lese am liebsten Thriller, Horror, Afrikaromane und auch Biografien oder Bücher die über Kriegsenkel usw. handeln.",de,[],[],[],0,0,0,[],[],https://twitter.com/MadameAurelia/status/1517791780862840832,False,,0,,,,,,,,"[{'screen_name': 'Teufelskreis81', 'name': 'Gedankenkarussell', 'id': '1391304673613713408'}]",,,,
1517791780724523009,1517791780724523009,2022-04-23 14:35:34 IST,2022-04-23,14:35:34,+0530,1068803288,nerdblah,Nerdblah,,(Crypto) Walraisa und Nidoqueen ist in jedem Team. Sind die stark ?  ༎ຶ‿༎ຶ #PokemonGO  #PokemonEUIC,de,[],[],[],0,0,0,"['pokemongo', 'pokemoneuic']",[],https://twitter.com/Nerdblah/status/1517791780724523009,False,,0,,,,,,,,[],,,,
1517791780330250240,1517760185028071424,2022-04-23 14:35:34 IST,2022-04-23,14:35:34,+0530,1293127406560083969,holzheustefan,Stefan Holzheu,,"@CSU Der #Klimawandel bedroht übrigens die Braugerste. Denken Die mal darüber nach, ob die #Klimapolitik der #CSU in der Vergangenheit ausreichend war.  Spoiler: Nein, war sie nicht.   Aber der beste Zeitpunkt das zu ändern ist heute. Der zweitbeste morgen.",de,[],[],[],0,0,0,"['klimawandel', 'klimapolitik', 'csu']",[],https://twitter.com/HolzheuStefan/status/1517791780330250240,False,,0,,,,,,,,"[{'screen_name': 'CSU', 'name': 'CSU', 'id': '21107582'}]",,,,
1517791780120543235,1517780923575681024,2022-04-23 14:35:34 IST,2022-04-23,14:35:34,+0530,1504416480494067714,fuzzy4711,Spock,,"@Hexen2111 Es sind meist Risikopatienten, die Angst um ihre Gesundheit oder ihr Leben oder das ihrer Angehörigen haben.   Vielleicht mal darüber nachdenken ? Nein ? Lieber schwachsinnige Beschimpfungen raushauen.  Warum ? Weil du ein erbärmlicher egoistischer asozialer Vollidiot bist.",de,[],[],[],0,0,0,[],[],https://twitter.com/fuzzy4711/status/1517791780120543235,False,,0,,,,,,,,"[{'screen_name': 'Hexen2111', 'name': 'Ich darf das🎬', 'id': '1422880216372891649'}]",,,,
1517791779109707777,1517785652703768577,2022-04-23 14:35:34 IST,2022-04-23,14:35:34,+0530,1327216548570918912,harryluck15,Wut gegen die Maschine,,"@MilanSIMI7 @djordjenspm Ginula deca 8 godina u Donjecku i Lugansku, ali to je bilo ok pošto se dešavalo u okviru prava suverene države da se učlani u NATO.",und,[],[],[],0,0,0,[],[],https://twitter.com/HarryLuck15/status/1517791779109707777,False,,0,,,,,,,,"[{'screen_name': 'MilanSIMI7', 'name': 'Amerisukrivizasve', 'id': '1179872996477018118'}, {'screen_name': 'djordjenspm', 'name': 'Ђорђе Вукадиновић', 'id': '814504691170246656'}]",,,,
1517791779109670913,1517572666722553858,2022-04-23 14:35:34 IST,2022-04-23,14:35:34,+0530,1893431636,guadex1202,guadex😔,,"@fallandor6 @zMaaqs @LuckeR39157639 @Sturmlicht1 Wie die Putler Versteher aber auch nicht verstehen, dass Appeasement Politik nichts bringt , bzw. Historisch bereits gezeigt hat, wie gut diese Funktioniert mit einem Diktator.",de,[],[],[],0,0,0,[],[],https://twitter.com/guadex1202/status/1517791779109670913,False,,0,,,,,,,,"[{'screen_name': 'fallandor6', 'name': 'falali', 'id': '1509059576829812736'}, {'screen_name': 'zMaaqs', 'name': '𐌑𐌀𐌗', 'id': '951106425778069506'}, {'screen_name': 'LuckeR39157639', 'name': 'LuckeR', 'id': '1317095451619885064'}, {'screen_name': 'Sturmlicht1', 'name': 'Sturmlicht', 'id': '1427661380342124546'}]",,,,
1517791778203705354,1517791778203705354,2022-04-23 14:35:33 IST,2022-04-23,14:35:33,+0530,1050502577681502210,wonspops,The Charismatic Enigma,,"I want to start running again, I’m so out of shape. Can’t even walk for two seconds without feeling like I want to die",en,[],[],[],0,0,0,[],[],https://twitter.com/Wonspops/status/1517791778203705354,False,,0,,,,,,,,[],,,,
1517791778044358658,1517246282552823809,2022-04-23 14:35:33 IST,2022-04-23,14:35:33,+0530,57615286,angus_xd,AnGuSxD,,@jvstmaex Möchte aber erwähnen das ich geimpft bin. Nur mein Kleiner ist es nicht weil 3 Jahre alt. Hat aber auch die Infektion abbekommen.,de,[],[],[],0,0,0,[],[],https://twitter.com/AnGuS_xD/status/1517791778044358658,False,,0,,,,,,,,"[{'screen_name': 'jvstmaex', 'name': 'Max Zogjani', 'id': '1421913177906941959'}]",,,,
1517791776358154240,1517770804456562688,2022-04-23 14:35:33 IST,2022-04-23,14:35:33,+0530,1246788110035423232,zbignie44895919,ZBIGNIEW,,"@tagesschau Die Kinder aus Mariupol, die sich in den Kellern von Azovstal verstecken, bitten die Soldaten, den Krieg zu gewinnen, damit sie zu ihren Familien zurückkehren können.  https://t.co/1rydRQwxM1",de,[],[],[],0,0,0,[],[],https://twitter.com/ZBIGNIE44895919/status/1517791776358154240,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1517743158276329473/pu/img/TKRFfu5eimqQxeiI.jpg,,,,,,,"[{'screen_name': 'tagesschau', 'name': 'tagesschau', 'id': '5734902'}]",,,,
